time_period,time_identifier,geographic_level,country_code,country_name,date,phase,number_of_teachers_and_school_leaders_on_roll
2020,Week 42,National,E92000001,England,2020-10-12,All state-funded schools,480654
2020,Week 42,National,E92000001,England,2020-10-12,State-funded alternative provision,5054
2020,Week 42,National,E92000001,England,2020-10-12,State-funded primary,240218
2020,Week 42,National,E92000001,England,2020-10-12,State-funded secondary,213465
2020,Week 42,National,E92000001,England,2020-10-12,State-funded special,21918
2020,Week 42,National,E92000001,England,2020-10-13,All state-funded schools,503036
2020,Week 42,National,E92000001,England,2020-10-13,State-funded alternative provision,5107
2020,Week 42,National,E92000001,England,2020-10-13,State-funded primary,244185
2020,Week 42,National,E92000001,England,2020-10-13,State-funded secondary,231250
2020,Week 42,National,E92000001,England,2020-10-13,State-funded special,22494
2020,Week 42,National,E92000001,England,2020-10-14,All state-funded schools,507307
2020,Week 42,National,E92000001,England,2020-10-14,State-funded alternative provision,5145
2020,Week 42,National,E92000001,England,2020-10-14,State-funded primary,245972
2020,Week 42,National,E92000001,England,2020-10-14,State-funded secondary,233571
2020,Week 42,National,E92000001,England,2020-10-14,State-funded special,22618
2020,Week 42,National,E92000001,England,2020-10-15,All state-funded schools,508641
2020,Week 42,National,E92000001,England,2020-10-15,State-funded alternative provision,5117
2020,Week 42,National,E92000001,England,2020-10-15,State-funded primary,245544
2020,Week 42,National,E92000001,England,2020-10-15,State-funded secondary,235533
2020,Week 42,National,E92000001,England,2020-10-15,State-funded special,22446
